original_index,img_link,budget_value,revenue_value,lang
20119,https://media.themoviedb.org/t/p/w300_and_h450_face/3vXW2zmJynDiJ0VH6Xk3s7agXdz.jpg,,,English
23463,https://media.themoviedb.org/t/p/w300_and_h450_face/2qPDrYCedMnhiuXNedlzAYd2pRK.jpg,,,English
23465,https://media.themoviedb.org/t/p/w300_and_h450_face/vgnxicD1qvhTrh4db9F7hJLoOaa.jpg,,,English
805,https://media.themoviedb.org/t/p/w300_and_h450_face/3HSPxDE0rvvvklNxYqba8glk3S5.jpg,,,French
9167,https://media.themoviedb.org/t/p/w300_and_h450_face/jKWm6eO4ixba1orKT7idx5FJLrK.jpg,1500000.0,,Spanish; Castilian
5932,https://media.themoviedb.org/t/p/w300_and_h450_face/xt3cUn7lsjpaGuB279A4v8zAYRn.jpg,,,English
20120,https://media.themoviedb.org/t/p/w300_and_h450_face/55JqWqocsMNx5uanELDRDFqu40J.jpg,40000000.0,41863726.0,English
807,https://media.themoviedb.org/t/p/w300_and_h450_face/fkQJVqXittOKXTubdiID5cRFExr.jpg,,,Welsh
23466,https://media.themoviedb.org/t/p/w300_and_h450_face/2qbsG9t943DciYTHITISzXQltqt.jpg,3000000.0,558636.0,Spanish; Castilian
9168,https://media.themoviedb.org/t/p/w300_and_h450_face/6gj9iMwlKZh3C4Q21q1qNu8idVE.jpg,10000000.0,,English
9170,https://media.themoviedb.org/t/p/w300_and_h450_face/kRlmTuDdZEGPbbXavNmiafUYYka.jpg,,,Japanese
9169,https://media.themoviedb.org/t/p/w300_and_h450_face/a4Ql4swnnosHQoOSObHiHToPKOm.jpg,1000000.0,,English
23467,https://media.themoviedb.org/t/p/w300_and_h450_face/iaJZm5z38RUi9czHxaiayN1OMAe.jpg,,,English
808,https://media.themoviedb.org/t/p/w300_and_h450_face/zErPp680oDKX3IILQqOgkeeaxWr.jpg,,,French
